name,quantity,cost_price,unit_price,category,location
GREEN CROSS SOAP 125G,0,34,40,OTHERS,
DR. KAUFMANN IR 80G,1,34,40,OTHERS,
J. SOAP SACHET,2,18,20,OTHERS,
SAFEGUARD SACHET,5,20,25,OTHERS,
SUNSILK SHAMPOO,22,5.4,8,OTHERS,
CREAMSILK,4,6.45,8,OTHERS,
KERATIN SHAMPOO,0,8,10,OTHERS,
COTTON BUDS 108 TIPS,0,22.5,25,OTHERS,
COTTON BUDS 200TIPS,0,25.5,30,OTHERS,
PONDS FACIAL FOAM,2,12.08,20,OTHERS,
MYRA FACIAL WASH,0,18,20,OTHERS,
VICKS 5G,5,30.75,40,OTHERS,
VICKS 10G,5,55,60,OTHERS,
VICKS INHALER,6,96,115,OTHERS,
OFF LOTION 50ML,0,96.35,110,OTHERS,
OFF LOTION SACHET,12,8,12,OTHERS,
REXONA SACHET,20,8,10,OTHERS,
SEBO DE MACHO,0,31.5,35,OTHERS,
EUCALPYTUS OIL 7.5ML,0,38.25,45,OTHERS,
TAWAS,12,13.5,20,OTHERS,
EYE-MO RED,2,90,110,OTHERS,
EYE-MO BLUE,2,98.99,110,OTHERS,
DAKTARIN ORAL GEL,2,250,285,OTHERS,
CANESTEN CREAM,2,175,125,OTHERS,
TROSYD CREAM,2,147.8,165,OTHERS,
NIZORAL CREAM,0,151.9,175,OTHERS,
MUPIROCIN OINTMENT,4,78,150,OTHERS,
CLOBETAZOL CREAM,0,55,120,OTHERS,
TOOTHACHE DROPS 7.5ML,5,18,25,OTHERS,
VINAGRE 60ML,1,29.75,35,OTHERS,
GEL,2,18,25,OTHERS,
BONIL,0,45,50,OTHERS,
SALICYLIC ACID 25ML,0,16.85,25,OTHERS,
CUTICLE REMOVER,12,6,10,OTHERS,
NAIL TINT,8,6,10,OTHERS,
ACETON SMALL,2,8,10,OTHERS,
HAPPY PANTS XXXL X 12'S,0,129.71,150,OTHERS,
HAPPY PANTS XL X 12'S,0,102,120,OTHERS,
HAPPY PANTS L X 12'S,0,91.95,110,OTHERS,
HAPPY PANTS M X 12'S,0,82.8,95,OTHERS,
HAPPY PANTS XXL X 4'S,0,37.15,50,OTHERS,
HAPPY PANTS XL X 4'S,0,35.25,45,OTHERS,
HAPPY PANTS L X 4'S,0,32.3,40,OTHERS,
HAPPY PANTS M X 4'S,0,29.15,35,OTHERS,
EQ NEW BORN X 4'S,0,31.2,35,OTHERS,
EQ SMALLX 4'S,0,31.45,40,OTHERS,
EQ MEDIUM X 4'S,0,31.2,45,OTHERS,
EQ LARGE X 4'S,0,41,50,OTHERS,
EQ XL X 4'S,0,47.15,55,OTHERS,
EQ XXL X 4'S,0,41,50,OTHERS,
EQ NEW BORN X 22'S,0,154.65,35,OTHERS,
EQ SMALL X 20'S,0,34,40,OTHERS,
EQ MEDIUM X 18'S,1,157.5,185,OTHERS,
EQ LARGE X 16'S,0,157.5,185,OTHERS,
EQ XL X 14'S,0,154.65,185,OTHERS,
EQ XXL X 12'S,1,154.65,185,OTHERS,
PAMPERS NEW BORN X 20'S,0,126.6,170,OTHERS,
PAMPERS NEW BORN X 4'S,0,25.5,30,OTHERS,
PAMPERS SMALL X 4'S,5,36,45,OTHERS,
PAMPERS SMALL X 18'S,4,153,180,OTHERS,
PAMPERS MEDIUM X 16'S,2,143.5,200,OTHERS,
PAMPERS MEDIUM X 4'S,4,29.75,45,OTHERS,
PAMPERS LARGE X 20'S,0,216,240,OTHERS,
PAMPERS XL X 12'S,0,162.95,190,OTHERS,
LAMPIEN NEW BORN X 4'S,4,25,30,OTHERS,
LAMPIEN MED. X 4'S,2,29.75,35,OTHERS,
LAMPIEN LARGE X 4'S,0,30.45,40,OTHERS,
LAMPIEN XL X 4'S,4,38.25,45,OTHERS,
LAMPIEN NEW BORN X 15'S,1,76.5,90,OTHERS,
LAMPIEN MED. X 15'S,3,87.5,100,OTHERS,
LAMPIEN LARGE X 12'S,0,95.25,100,OTHERS,
LAMPIEN XL X 15'S,0,108,120,OTHERS,
LAMPIEN XXL X 15'S,0,130.5,145,OTHERS,
GRAND ADULT DIAPER MED.,0,18.5,25,OTHERS,
GRAND ADULT DIAPER LARGE,0,23.12,30,OTHERS,
HAPPY COTTON 150G,1,57.5,75,OTHERS,
HAPPY COTTON 80G,0,28.75,40,OTHERS,
HAPPY COTTON 40G,3,15.8,25,OTHERS,
HAPPY COTTON 10G,2,3.6,7,OTHERS,
SANICARE COTTON 90G,0,40.25,50,OTHERS,
SANICARE COTTON 45G,0,20.25,30,OTHERS,
COTTON BALLS,0,18.25,25,OTHERS,
THOSEDAYS RED W/ WINGS,0,21.25,25,OTHERS,
THOSEDAYS VIOLET W/ WINGS,0,25.5,30,OTHERS,
THOSEDAYS NON WINGS,0,14,20,OTHERS,
SISTER VIOLET,0,26.5,35,OTHERS,
SISTER BLUE,0,26.5,30,OTHERS,
SISTER GREEN,0,18.25,25,OTHERS,
SISTER PINK,2,20.75,25,OTHERS,
SISTER PANTYLINERS,0,18.25,25,OTHERS,
CHARMEE PANTYLINERS,1,17.5,25,OTHERS,
CHARMEE RED,2,18.25,25,OTHERS,
CHARMEE YELLOW,2,18.25,25,OTHERS,
CHARMEE BLUE,1,21.5,25,OTHERS,
WHISPER PINK,0,37.65,45,OTHERS,
WHISPER VIOLET,0,40.55,50,OTHERS,
MODESS ALL NIGHT,3,45.5,55,OTHERS,
MODESS NON WING X 8'S,0,36.15,45,OTHERS,
MODESS W/ WINGS X 8'S,0,38.25,45,OTHERS,
MODESS REGULAR X 10'S,1,94.5,105,OTHERS,
MODESS NW SINGLE,0,6,7,OTHERS,
MODESS WW SINGLE,20,6,7,OTHERS,
MODESS MATERNITY NAPKIN,0,100,115,OTHERS,
TISSUE PAPER,0,10,12,OTHERS,
FEMME TISSUE,0,13,20,OTHERS,
BABY WIPES BIG,0,39.25,45,OTHERS,
BABY WIPES SMALL,0,14.65,25,OTHERS,
SURF POWDER SACHET,0,5.54,7,OTHERS,
SURF BAR,0,10.75,12,OTHERS,
CLOSE-UP SACHET,7,8,10,OTHERS,
JOY DISHWASHING SACHET,0,6,7,OTHERS,
GILLETTE YELLOW,1,29.75,35,OTHERS,
GILLETTE BLUE,1,34,40,OTHERS,
BATTERY AAA,0,21.81,25,OTHERS,
PAPER PLATE,0,1.5,3,OTHERS,
PAPER CUP,0,1.5,3,OTHERS,
SPOON,0,1,2,OTHERS,
PORK,0,1,2,OTHERS,
WILKINS 7 LITERS,0,89.6,100,OTHERS,
ABSOLUTE 6 LITERS,1,67.66,85,OTHERS,
ABSOLUTE 1 LITER,2,22.83,30,OTHERS,
ABSOLUTE 500ML,10,12.89,20,OTHERS,
ABSOLUTE 350ML,0,13.5,15,OTHERS,
POCARI SWEAT 900ML,0,83.25,95,OTHERS,
POCARI SWEAT 500ML,0,44.95,55,OTHERS,
POCARI SWEAT 350ML,0,32.33,40,OTHERS,
REDBULL,2,35,50,OTHERS,
PINEAPPLE JUICE,2,31,35,OTHERS,
VINO DE QUINA,2,50,75,OTHERS,
REFRESH MINERAL WATER 350ML,0,5.59,12,OTHERS,
BEAR BRAND STERELIZED,0,27,30,OTHERS,
GATORADE 500ML,2,41.65,50,OTHERS,
CERELAC 120G,0,69.25,85,OTHERS,
CLOSE-UP BOX 120G,0,126,140,OTHERS,
FACE MASK,30,1,5,OTHERS,
BEAR BRAND SWAK,0,13.5,15,OTHERS,
BEAR BRAND ADULT 180G,0,101.4,110,OTHERS,
